연도,승용 관용,승용 자가용,승용 영업용,승용 총계,승합 관용,승합 자가용,승합 영엉용,승합 총계,화물 관용,화물 자가용,화물 영업용,화물 총계,특수 관용,특수 자가용,특수 영업용,특수 총계,합계 관용,합계 자가용,합계 영업용,합계 총계
2019,33344,18071723,1072450,19177517,23014,663494,125291,811799,33072,3143102,416412,3592586,2867,30043,62554,95464,92297,21908362,1676707,23677366
2020,33619,18686570,1140766,19860955,23938,639504,120400,783842,33391,3156602,425252,3615245,3009,39010,63918,105937,93957,22521686,1750336,24365979
2021,34548,19168262,1207838,20410648,24460,608894,116614,749968,33800,3159844,438331,3631975,3141,49733,65636,118510,95949,22986733,1828419,24911101
2022,35071,19647975,1269713,20952759,24755,583625,115581,723961,34587,3211121,450609,3696317,3441,59623,66977,130041,97854,23502344,1902880,25503078
2023,35481,20079294,1275427,21390202,25009,555119,114446,694574,35318,3225194,465888,3726400,3702,66655,67668,138025,99510,23926262,1923429,25949201
