월(Monthly),시도명,시군구,승용,승용,승용,승용,승합,승합,승합,승합,화물,화물,화물,화물,특수,특수,특수,특수,총계,총계,총계,총계,,,,,,,,,,,,,,,,,,,,,,,
월(Monthly),시도명,시군구,관용,자가용,영업용,계,관용,자가용,영업용,계,관용,자가용,영업용,계,관용,자가용,영업용,계,관용,자가용,영업용,계,,,,,,,,,,,,,,,,,,,,,,,
Jul-24,부산,사상구,94,67,114,2,424,69,632,57,2,74,242,2,373,102,14,269,2,311,16,682,9,222,322,553,262,83,679,5,299,89,240,,,,,,,,,,,,
Jul-24,부산,사하구,107,92,325,3,382,95,814,49,2,632,338,3,19,103,12,823,1,992,14,918,9,211,279,499,268,107,991,5,991,114,250,,,,,,,,,,,,
Jul-24,부산,서구,63,25,893,401,26,357,32,876,21,929,41,3,619,890,4,550,1,55,87,143,137,30,443,1,399,31,979,,,,,,,,,,,,,,,,
Jul-24,부산,수영구,51,56,727,62,134,118,912,24,1,407,839,2,270,81,5,496,1,366,6,943,11,154,366,531,167,63,784,64,705,128,656,,,,,,,,,,,,
Jul-24,부산,연제구,328,104,788,15,50,120,166,506,1,639,656,2,801,191,8,412,2,297,10,900,27,183,716,926,1,52,115,22,18,719,134,793,,,,,,,,,,,
Jul-24,부산,영도구,82,26,672,1,310,28,64,48,974,293,1,315,83,4,96,367,4,546,9,50,51,110,222,31,792,2,21,34,35,,,,,,,,,,,,,,
Jul-24,부산,중구,153,32,548,116,32,817,62,497,15,574,82,1,845,5,315,7,242,15,118,1,703,1,836,312,35,8,7,149,42,469,,,,,,,,,,,,,
Jul-24,부산,해운대구,136,149,839,9,942,159,917,56,2,972,249,3,277,129,13,59,2,175,15,363,9,311,473,793,330,166,181,12,839,179,350,,,,,,,,,,,,
Jul-24,부산,계,1,813,1,179,91,130,625,1,311,529,1,276,28,378,6,221,35,875,1,625,147,345,36,77,185,47,154,3,172,9,45,12,371,4,868,1,357,986,181,968,1,544,822
Jul-24,대구,군위군,47,9,956,68,10,71,36,373,21,430,46,5,279,137,5,462,2,65,21,88,131,15,673,247,16,51,,,,,,,,,,,,,,,,,
Jul-24,대구,남구,82,47,25,894,48,1,239,1,241,93,1,573,80,6,268,501,6,849,3,115,57,175,404,54,649,1,545,56,598,,,,,,,,,,,,,,
Jul-24,대구,달서구,191,239,828,12,412,252,431,111,4,706,730,5,547,177,29,196,5,563,34,936,14,588,575,1,177,493,274,318,19,280,294,91,,,,,,,,,,,
Jul-24,대구,달성군,127,117,792,1,484,119,403,121,2,872,518,3,511,294,19,630,2,878,22,802,62,404,292,758,604,140,698,5,172,146,474,,,,,,,,,,,,
Jul-24,대구,동구,115,142,46,5,53,147,214,88,3,238,723,4,49,154,19,306,3,908,23,368,10,440,516,966,367,165,30,10,200,175,597,,,,,,,,,,,,
Jul-24,대구,북구,176,170,234,2,567,172,977,128,3,680,637,4,445,231,28,250,4,442,32,923,26,539,440,1,5,561,202,703,8,86,211,350,,,,,,,,,,,
Jul-24,대구,서구,94,58,513,2,967,61,574,40,1,665,232,1,937,122,10,820,1,561,12,503,9,165,118,292,265,71,163,4,878,76,306,,,,,,,,,,,,
Jul-24,대구,수성구,191,196,173,3,160,199,524,193,2,950,608,3,751,212,15,905,1,333,17,450,12,459,160,631,608,215,487,5,261,221,356,,,,,,,,,,,,
Jul-24,대구,중구,84,53,583,1,376,55,43,71,989,343,1,403,147,4,634,478,5,259,15,94,26,135,317,59,300,2,223,61,840,,,,,,,,,,,,,,
Jul-24,대구,계,1,107,1,35,150,29,981,1,66,238,1,27,21,714,3,905,26,646,1,463,139,288,20,801,161,552,153,2,869,2,205,5,227,3,750,1,199,21,56,892,1,259,663
Jul-24,인천,강화군,136,27,201,8,361,35,698,51,1,122,308,1,481,158,10,410,753,11,321,8,169,89,266,353,38,902,9,511,48,766,,,,,,,,,,,,,
Jul-24,인천,계양구,111,95,284,142,132,237,527,61,3,116,2,0,5,177,112,26,146,2,758,29,16,15,578,331,924,299,125,124,147,221,272,644,,,,,,,,,,,
Jul-24,인천,남동구,349,223,879,21,323,245,551,413,5,31,875,6,319,175,29,321,3,623,33,119,23,573,499,1,95,960,258,804,26,320,286,84,,,,,,,,,,,
Jul-24,인천,동구,37,20,21,1,62,21,120,35,848,71,954,34,3,552,1,386,4,972,2,102,318,422,108,24,523,2,837,27,468,,,,,,,,,,,,,,
Jul-24,인천,미추홀구,186,144,103,7,747,152,36,99,4,43,80,4,222,134,16,945,4,852,21,931,18,434,831,1,283,437,165,525,13,510,179,472,,,,,,,,,,,
Jul-24,인천,부평구,151,203,964,34,327,238,442,84,4,514,1,30,5,628,105,20,944,3,213,24,262,11,474,314,799,351,229,896,38,884,269,131,,,,,,,,,,,
Jul-24,인천,서구,227,266,212,4,933,271,372,109,6,336,1,287,7,732,200,33,948,6,371,40,519,27,740,722,1,489,563,307,236,13,313,321,112,,,,,,,,,,
Jul-24,인천,연수구,170,207,262,5,334,212,766,90,3,116,710,3,916,141,12,227,3,441,15,809,13,395,505,913,414,223,0,9,990,233,404,,,,,,,,,,,,
Jul-24,인천,옹진군,71,8,797,144,9,12,53,506,67,626,124,3,974,63,4,161,3,46,13,62,251,13,323,287,13,861,,,,,,,,,,,,,,,,,
Jul-24,인천,중구,297,69,958,792,71,47,160,1,838,742,2,740,187,8,281,8,892,17,360,21,399,1,789,2,209,665,80,476,12,215,93,356,,,,,,,,,,,
Jul-24,인천,계,1,735,1,266,681,226,155,1,494,571,1,155,30,470,7,170,38,795,1,370,165,748,35,352,202,470,141,3,910,5,411,9,462,4,401,1,466,809,274,88,1,745,298
Jul-24,광주,광산구,214,174,191,3,699,178,104,152,4,234,371,4,757,184,26,632,8,241,35,57,28,717,915,1,660,578,205,774,13,226,219,578,,,,,,,,,,,
