월(Monthly),시도명,시군구,승용,승용,승용,승용,승합,승합,승합,승합,화물,화물,화물,화물,특수,특수,특수,특수,총계,총계,총계,총계,,,,,,,,,,,,,,,,,,,,,,,
월(Monthly),시도명,시군구,관용,자가용,영업용,계,관용,자가용,영업용,계,관용,자가용,영업용,계,관용,자가용,영업용,계,관용,자가용,영업용,계,,,,,,,,,,,,,,,,,,,,,,,
Jul-24,충북,청주시 서원구,56,84,23,1,687,85,766,127,2,45,842,3,14,67,10,863,1,792,12,722,4,307,211,522,254,97,238,4,532,102,24,,,,,,,,,,,,
Jul-24,충북,청주시 청원구,169,91,364,2,383,93,916,123,2,437,547,3,107,129,14,536,2,77,16,742,9,405,193,607,430,108,742,5,200,114,372,,,,,,,,,,,,
Jul-24,충북,청주시 흥덕구,133,129,23,4,387,133,543,89,2,970,691,3,750,132,15,793,2,363,18,288,13,554,339,906,367,148,340,7,780,156,487,,,,,,,,,,,,
Jul-24,충북,충주시,198,94,318,5,395,99,911,155,2,842,415,3,412,258,20,45,1,800,22,103,29,428,280,737,640,117,633,7,890,126,163,,,,,,,,,,,,
Jul-24,충북,계,1,437,726,665,17,92,745,194,1,142,21,552,3,781,26,475,1,651,148,862,16,99,166,612,164,3,391,2,907,6,462,4,394,900,470,39,879,944,743,,,,
Jul-24,충남,계룡시,78,23,397,61,23,536,38,576,99,713,56,2,268,423,2,747,9,91,34,134,181,26,332,617,27,130,,,,,,,,,,,,,,,,,
Jul-24,충남,공주시,230,42,220,1,277,43,727,122,1,550,369,2,41,225,12,826,668,13,719,24,200,130,354,601,56,796,2,444,59,841,,,,,,,,,,,,,
Jul-24,충남,금산군,70,20,584,1,644,22,298,45,1,10,233,1,288,95,8,643,596,9,334,7,112,73,192,217,30,349,2,546,33,112,,,,,,,,,,,,,
Jul-24,충남,논산시,150,45,604,828,46,582,91,2,18,366,2,475,143,15,250,1,79,16,472,30,198,86,314,414,63,70,2,359,65,843,,,,,,,,,,,,,
Jul-24,충남,당진시,157,85,154,787,86,98,79,2,429,353,2,861,190,19,121,2,339,21,650,17,474,796,1,287,443,107,178,4,275,111,896,,,,,,,,,,,,
Jul-24,충남,보령시,131,40,330,519,40,980,73,1,397,177,1,647,183,12,830,543,13,556,32,192,155,379,419,54,749,1,394,56,562,,,,,,,,,,,,,,
Jul-24,충남,부여군,95,23,58,193,23,346,69,1,86,335,1,490,151,11,270,390,11,811,14,92,53,159,329,35,506,971,36,806,,,,,,,,,,,,,,,
Jul-24,충남,서산시,176,81,866,1,29,83,71,88,2,454,497,3,39,162,19,26,1,874,21,62,25,403,437,865,451,103,749,3,837,108,37,,,,,,,,,,,,
Jul-24,충남,서천군,75,19,549,148,19,772,40,712,112,864,109,7,689,439,8,237,16,86,82,184,240,28,36,781,29,57,,,,,,,,,,,,,,,,,
Jul-24,충남,아산시,188,172,167,2,357,174,712,144,4,714,482,5,340,190,24,335,3,738,28,263,48,701,380,1,129,570,201,917,6,957,209,444,,,,,,,,,,,
Jul-24,충남,예산군,140,34,486,279,34,905,125,1,383,318,1,826,186,11,494,721,12,401,15,194,119,328,466,47,557,1,437,49,460,,,,,,,,,,,,,,
Jul-24,충남,천안시 동남구,115,118,739,1,805,120,659,68,3,788,671,4,527,126,19,615,2,823,22,564,12,520,405,937,321,142,662,5,704,148,687,,,,,,,,,,,,
Jul-24,충남,천안시 서북구,169,181,408,1,747,183,324,158,4,392,878,5,428,215,20,963,2,493,23,671,24,582,284,890,566,207,345,5,402,213,313,,,,,,,,,,,,
Jul-24,충남,청양군,76,11,429,66,11,571,55,472,61,588,119,6,23,495,6,637,17,70,71,158,267,17,994,693,18,954,,,,,,,,,,,,,,,,,
Jul-24,충남,태안군,83,24,637,192,24,912,47,988,114,1,149,196,10,813,258,11,267,20,140,50,210,346,36,578,614,37,538,,,,,,,,,,,,,,,,
Jul-24,충남,홍성군,176,42,798,317,43,291,93,1,387,198,1,678,143,12,243,761,13,147,20,228,128,376,432,56,656,1,404,58,492,,,,,,,,,,,,,,
Jul-24,충남,계,2,109,967,426,13,249,982,784,1,335,30,356,5,263,36,954,2,489,214,409,19,640,236,538,330,4,283,3,283,7,896,6,263,1,216,474,41,435,1,264,172,,
Jul-24,전남,강진군,83,12,327,164,12,574,64,503,76,643,100,6,621,728,7,449,11,84,40,135,258,19,535,1,8,20,801,,,,,,,,,,,,,,,,
Jul-24,전남,고흥군,106,20,783,159,21,48,74,1,24,93,1,191,143,12,670,266,13,79,10,115,42,167,333,34,592,560,35,485,,,,,,,,,,,,,,,
Jul-24,전남,곡성군,67,10,580,101,10,748,44,421,61,526,72,5,16,397,5,485,6,53,63,122,189,16,70,622,16,881,,,,,,,,,,,,,,,,,
Jul-24,전남,광양시,93,76,968,819,77,880,70,2,149,278,2,497,88,14,576,3,443,18,107,14,538,1,659,2,211,265,94,231,6,199,100,695,,,,,,,,,,,
Jul-24,전남,구례군,58,9,223,397,9,678,40,395,52,487,77,3,946,205,4,228,4,66,23,93,179,13,630,677,14,486,,,,,,,,,,,,,,,,,
Jul-24,전남,나주시,138,52,461,785,53,384,123,1,876,374,2,373,216,15,548,1,710,17,474,20,352,270,642,497,70,237,3,139,73,873,,,,,,,,,,,,,
Jul-24,전남,담양군,79,20,215,399,20,693,49,775,269,1,93,78,7,907,1,81,9,66,11,119,148,278,217,29,16,1,897,31,130,,,,,,,,,,,,,,
Jul-24,전남,목포시,122,83,248,2,256,85,626,116,2,640,409,3,165,153,13,42,2,335,15,530,10,330,347,687,401,99,260,5,347,105,8,,,,,,,,,,,,
Jul-24,전남,무안군,250,39,643,152,40,45,210,1,474,69,1,753,157,11,813,853,12,823,14,191,122,327,631,53,121,1,196,54,948,,,,,,,,,,,,,,
Jul-24,전남,보성군,77,13,964,157,14,198,49,711,69,829,106,7,908,356,8,370,14,86,50,150,246,22,669,632,23,547,,,,,,,,,,,,,,,,,
Jul-24,전남,순천시,168,123,652,1,856,125,676,132,2,944,600,3,676,194,22,738,2,115,25,47,19,456,930,1,405,513,149,790,5,501,155,804,,,,,,,,,,,
Jul-24,전남,신안군,114,13,999,100,136,114,249,69,648,2,410,3,127,206,9,429,385,10,20,5,146,36,187,394,24,222,102,967,127,583,,,,,,,,,,,,,
Jul-24,전남,여수시,197,113,486,2,437,116,120,152,3,184,724,4,60,206,21,757,3,527,25,490,16,416,844,1,276,571,138,843,7,532,146,946,,,,,,,,,,,
Jul-24,전남,영광군,80,20,979,143,21,202,47,782,89,918,115,8,161,507,8,783,7,112,53,172,249,30,34,792,31,75,,,,,,,,,,,,,,,,,
Jul-24,전남,영암군,87,24,427,100,24,614,64,1,196,80,1,340,121,11,286,781,12,188,8,210,139,357,280,37,119,1,100,38,499,,,,,,,,,,,,,,
Jul-24,전남,완도군,125,16,154,165,16,444,57,698,106,861,106,9,696,208,10,10,11,94,31,136,299,26,642,510,27,451,,,,,,,,,,,,,,,,,
Jul-24,전남,장성군,81,19,178,230,19,489,45,724,83,852,94,8,231,909,9,234,3,116,90,209,223,28,249,1,312,29,784,,,,,,,,,,,,,,,,
Jul-24,전남,장흥군,91,13,266,93,13,450,74,547,48,669,106,7,84,288,7,478,7,59,34,100,278,20,956,463,21,697,,,,,,,,,,,,,,,,,
Jul-24,전남,진도군,78,11,112,88,11,278,50,514,60,624,97,6,296,143,6,536,8,60,23,91,233,17,982,314,18,529,,,,,,,,,,,,,,,,,
Jul-24,전남,함평군,69,12,307,6,10,18,386,51,510,120,681,91,6,549,201,6,841,11,85,25,121,222,19,451,6,356,26,29,,,,,,,,,,,,,,,
Jul-24,전남,해남군,115,24,341,83,950,108,406,82,1,612,1,115,2,809,141,15,525,233,15,899,10,122,44,176,348,41,600,85,342,127,290,,,,,,,,,,,,
Jul-24,전남,화순군,96,25,590,454,26,140,53,918,922,1,893,101,8,34,510,8,645,9,155,151,315,259,34,697,2,37,36,993,,,,,,,,,,,,,,,
Jul-24,전남,계,2,374,757,903,201,51,961,328,1,715,26,245,8,107,36,67,2,768,233,833,21,181,257,782,228,3,965,5,164,9,357,7,85,1,21,946,235,503,1,264,534,,
Jul-24,경북,경산시,141,119,380,913,120,434,100,2,983,395,3,478,132,22,46,2,768,24,946,13,408,386,807,386,144,817,4,462,149,665,,,,,,,,,,,,,
Jul-24,경북,경주시,213,118,950,1,735,120,898,149,3,727,540,4,416,225,25,945,1,977,28,147,15,548,380,943,602,149,170,4,632,154,404,,,,,,,,,,,,
Jul-24,경북,고령군,62,14,486,38,14,586,32,658,55,745,70,6,476,676,7,222,17,83,52,152,181,21,703,821,22,705,,,,,,,,,,,,,,,,,
Jul-24,경북,구미시,192,192,117,2,559,194,868,110,4,928,775,5,813,227,25,884,3,635,29,746,20,644,466,1,130,549,223,573,7,435,231,557,,,,,,,,,,,
Jul-24,경북,군위군,0,19,2,21,0,4,0,4,0,24,3,27,0,0,0,0,0,47,5,52,,,,,,,,,,,,,,,,,,,,,,,
Jul-24,경북,김천시,145,58,405,630,59,180,87,2,11,266,2,364,163,17,913,1,75,19,151,18,242,182,442,413,78,571,2,153,81,137,,,,,,,,,,,,,
Jul-24,경북,문경시,97,27,175,386,27,658,55,1,190,118,1,363,133,10,391,282,10,806,12,145,97,254,297,38,901,883,40,81,,,,,,,,,,,,,,,
Jul-24,경북,봉화군,96,11,151,48,11,295,51,426,41,518,86,7,8,88,7,182,16,50,14,80,249,18,635,191,19,75,,,,,,,,,,,,,,,,,
Jul-24,경북,상주시,118,37,60,408,37,586,88,1,614,255,1,957,196,17,343,1,44,18,583,16,204,168,388,418,56,221,1,875,58,514,,,,,,,,,,,,,
Jul-24,경북,성주군,70,20,206,127,20,403,43,789,46,878,86,11,364,976,12,426,15,132,147,294,214,32,491,1,296,34,1,,,,,,,,,,,,,,,,
Jul-24,경북,안동시,272,64,467,912,65,651,243,2,139,315,2,697,260,19,295,1,199,20,754,48,328,229,605,823,86,229,2,655,89,707,,,,,,,,,,,,,
Jul-24,경북,영덕군,73,12,874,110,13,57,50,598,56,704,123,6,10,116,6,249,16,76,27,119,262,19,558,309,20,129,,,,,,,,,,,,,,,,,
Jul-24,경북,영양군,54,6,55,36,6,145,31,284,27,342,60,3,890,47,3,997,2,34,7,43,147,10,263,117,10,527,,,,,,,,,,,,,,,,,
Jul-24,경북,영주시,139,41,301,480,41,920,78,1,582,144,1,804,150,14,739,745,15,634,27,217,161,405,394,57,839,1,530,59,763,,,,,,,,,,,,,,
Jul-24,경북,영천시,128,45,433,403,45,964,83,1,720,242,2,45,131,16,423,1,513,18,67,17,236,356,609,359,63,812,2,514,66,685,,,,,,,,,,,,,
Jul-24,경북,예천군,104,23,41,165,23,310,63,700,80,843,112,8,658,202,8,972,20,109,44,173,299,32,508,491,33,298,,,,,,,,,,,,,,,,,
Jul-24,경북,울릉군,59,4,375,342,4,776,21,263,197,481,63,1,426,31,1,520,8,27,2,37,151,6,91,572,6,814,,,,,,,,,,,,,,,,,
Jul-24,경북,울진군,133,20,402,117,20,652,58,625,84,767,122,6,638,127,6,887,16,117,38,171,329,27,782,366,28,477,,,,,,,,,,,,,,,,,
Jul-24,경북,의성군,79,19,628,88,19,795,80,831,82,993,125,12,272,848,13,245,10,115,99,224,294,32,846,1,117,34,257,,,,,,,,,,,,,,,,
Jul-24,경북,청도군,79,17,827,160,18,66,42,625,52,719,92,7,824,593,8,509,14,95,175,284,227,26,371,980,27,578,,,,,,,,,,,,,,,,,
Jul-24,경북,청송군,56,9,915,39,10,10,68,456,42,566,83,5,998,113,6,194,10,73,13,96,217,16,442,207,16,866,,,,,,,,,,,,,,,,,
Jul-24,경북,칠곡군,126,56,215,270,56,611,66,1,832,345,2,243,112,12,973,1,574,14,659,14,265,308,587,318,71,285,2,497,74,100,,,,,,,,,,,,,
Jul-24,경북,포항시 남구,132,104,804,1,336,106,272,86,2,910,772,3,768,213,18,98,4,254,22,565,13,453,1,743,2,209,444,126,265,8,105,134,814,,,,,,,,,,
Jul-24,경북,포항시 북구,164,127,698,2,187,130,49,93,2,894,321,3,308,103,18,108,1,47,19,258,26,441,301,768,386,149,141,3,856,153,383,,,,,,,,,,,,
Jul-24,경북,계,2,732,1,152,984,13,491,1,169,207,1,777,35,789,5,250,42,816,3,67,296,746,24,933,324,746,383,5,42,5,395,10,820,7,959,1,490,561,49,69,1,547,589
Jul-24,경남,거제시,125,95,587,1,21,96,733,90,2,843,472,3,405,147,12,10,499,12,656,14,308,163,485,376,110,748,2,155,113,279,,,,,,,,,,,,,
Jul-24,경남,거창군,101,24,568,190,24,859,71,850,168,1,89,106,9,355,257,9,718,13,80,177,270,291,34,853,792,35,936,,,,,,,,,,,,,,,,
Jul-24,경남,고성군,63,19,827,196,20,86,62,726,88,876,98,7,381,210,7,689,10,119,67,196,233,28,53,561,28,847,,,,,,,,,,,,,,,,,
Jul-24,경남,김해시,267,244,260,2,294,246,821,161,6,117,530,6,808,234,40,995,4,622,45,851,36,827,577,1,440,698,292,199,8,23,300,920,,,,,,,,,,,
Jul-24,경남,남해군,107,14,137,146,14,390,54,535,111,700,136,6,194,156,6,486,9,63,29,101,306,20,929,442,21,677,,,,,,,,,,,,,,,,,
Jul-24,경남,밀양시,108,43,628,483,44,219,92,1,394,195,1,681,107,13,720,2,610,16,437,15,198,631,844,322,58,940,3,919,63,181,,,,,,,,,,,,,
Jul-24,경남,사천시,101,48,76,678,48,855,79,1,440,241,1,760,136,10,524,541,11,201,17,181,117,315,333,60,221,1,577,62,131,,,,,,,,,,,,,,
Jul-24,경남,산청군,92,13,688,65,13,845,62,503,56,621,97,7,204,484,7,785,8,142,148,298,259,21,537,753,22,549,,,,,,,,,,,,,,,,,
Jul-24,경남,양산시,169,152,883,1,119,154,171,98,4,158,794,5,50,148,22,418,7,186,29,752,22,652,1,551,2,225,437,180,111,10,650,191,198,,,,,,,,,,
Jul-24,경남,의령군,65,10,476,54,10,595,52,378,45,475,91,4,571,555,5,217,13,57,106,176,221,15,482,760,16,463,,,,,,,,,,,,,,,,,
Jul-24,경남,진주시,213,143,742,2,860,146,815,175,3,271,1,17,4,463,240,26,802,2,368,29,410,33,494,431,958,661,174,309,6,676,181,646,,,,,,,,,,,
Jul-24,경남,창녕군,70,25,94,183,25,347,73,1,34,110,1,217,96,10,312,420,10,828,10,142,67,219,249,36,582,780,37,611,,,,,,,,,,,,,,,
Jul-24,경남,창원시 마산합포구,140,89,211,1,273,90,624,66,1,920,474,2,460,137,10,533,985,11,655,16,163,154,333,359,101,827,2,886,105,72,,,,,,,,,,,,,
Jul-24,경남,창원시 마산회원구,66,94,912,5,927,100,905,32,1,859,403,2,294,53,10,933,1,654,12,640,4,204,228,436,155,107,908,8,212,116,275,,,,,,,,,,,,
Jul-24,경남,창원시 성산구,242,160,79,59,520,219,841,222,2,100,1,114,3,436,143,10,588,998,11,729,15,211,180,406,622,172,978,61,812,235,412,,,,,,,,,,,,
Jul-24,경남,창원시 의창구,228,100,169,1,746,102,143,179,2,197,279,2,655,133,16,639,1,459,18,231,18,293,348,659,558,119,298,3,832,123,688,,,,,,,,,,,,
Jul-24,경남,창원시 진해구,95,87,223,721,88,39,36,1,930,160,2,126,89,7,863,987,8,939,13,271,267,551,233,97,287,2,135,99,655,,,,,,,,,,,,,,
Jul-24,경남,통영시,103,43,89,690,43,882,82,1,673,230,1,985,121,8,864,346,9,331,15,160,74,249,321,53,786,1,340,55,447,,,,,,,,,,,,,,
Jul-24,경남,하동군,60,16,202,88,16,350,67,543,42,652,106,7,826,166,8,98,10,78,84,172,243,24,649,380,25,272,,,,,,,,,,,,,,,,,
Jul-24,경남,함안군,87,33,328,36,548,69,963,54,1,49,394,1,497,82,10,285,527,10,894,6,250,229,485,229,44,912,37,698,82,839,,,,,,,,,,,,,
Jul-24,경남,함양군,60,13,486,374,13,920,54,486,87,627,122,6,566,152,6,840,12,71,29,112,248,20,609,642,21,499,,,,,,,,,,,,,,,,,
Jul-24,경남,합천군,86,15,741,116,15,943,60,601,75,736,139,8,174,404,8,717,15,87,77,179,300,24,603,672,25,575,,,,,,,,,,,,,,,,,
Jul-24,경남,계,2,648,1,489,406,116,292,1,608,346,1,921,37,607,7,85,46,613,2,761,269,757,27,586,300,104,324,5,51,5,734,11,109,7,654,1,801,821,156,697,1,966,172
Jul-24,제주,서귀포시,250,77,475,944,78,669,137,2,836,150,3,123,343,27,6,648,27,997,42,248,143,433,772,107,565,1,885,110,222,,,,,,,,,,,,,,
Jul-24,제주,제주시,628,251,749,269,43,521,420,354,7,103,6,397,13,854,692,58,261,3,577,62,530,38,1,255,598,1,891,1,712,318,368,279,615,599,695,,,,,,,,
Jul-24,제주,계,878,329,224,269,987,600,89,491,9,939,6,547,16,977,1,35,85,267,4,225,90,527,80,1,503,741,2,324,2,484,425,933,281,500,709,917,,,,,,,
Jul-24,강원,강릉시,158,93,981,2,531,96,670,148,2,543,521,3,212,267,18,185,1,430,19,882,38,403,446,887,611,115,112,4,928,120,651,,,,,,,,,,,,
Jul-24,강원,고성군,51,11,865,78,11,994,50,448,36,534,104,4,22,92,4,218,6,51,28,85,211,16,386,234,16,831,,,,,,,,,,,,,,,,,
Jul-24,강원,동해시,110,39,712,686,40,508,76,1,209,154,1,439,130,6,906,518,7,554,13,175,224,412,329,48,2,1,582,49,913,,,,,,,,,,,,,,
Jul-24,강원,삼척시,122,26,362,478,26,962,102,814,121,1,37,183,6,766,184,7,133,10,143,45,198,417,34,85,828,35,330,,,,,,,,,,,,,,,,
Jul-24,강원,속초시,113,34,280,957,35,350,89,1,68,144,1,301,113,5,390,310,5,813,7,146,94,247,322,40,884,1,505,42,711,,,,,,,,,,,,,,
Jul-24,강원,양구군,53,8,831,61,8,945,53,313,30,396,109,3,352,51,3,512,10,53,16,79,225,12,549,158,12,932,,,,,,,,,,,,,,,,,
Jul-24,강원,양양군,45,12,487,164,12,696,42,413,24,479,122,4,157,71,4,350,12,80,20,112,221,17,137,279,17,637,,,,,,,,,,,,,,,,,
Jul-24,강원,영월군,133,15,159,149,15,441,80,630,59,769,127,6,228,128,6,483,13,125,53,191,353,22,142,389,22,884,,,,,,,,,,,,,,,,,
Jul-24,강원,원주시,218,160,402,2,821,163,441,165,4,262,513,4,940,236,26,772,2,262,29,270,25,674,371,1,70,644,192,110,5,967,198,721,,,,,,,,,,,
Jul-24,강원,인제군,57,14,624,92,14,773,53,452,64,569,123,4,993,110,5,226,9,81,30,120,242,20,150,296,20,688,,,,,,,,,,,,,,,,,
Jul-24,강원,정선군,112,14,200,233,14,545,100,559,74,733,150,6,161,152,6,463,19,99,35,153,381,21,19,494,21,894,,,,,,,,,,,,,,,,,
Jul-24,강원,철원군,55,17,32,202,17,289,70,670,53,793,137,7,19,143,7,299,14,86,21,121,276,24,807,419,25,502,,,,,,,,,,,,,,,,,
Jul-24,강원,춘천시,330,121,140,2,500,123,970,280,3,80,607,3,967,266,18,644,2,759,21,669,21,515,415,951,897,143,379,6,281,150,557,,,,,,,,,,,,
Jul-24,강원,태백시,62,16,191,379,16,632,64,608,121,793,117,3,343,133,3,593,10,128,39,177,253,20,270,672,21,195,,,,,,,,,,,,,,,,,
Jul-24,강원,평창군,103,17,700,280,18,83,87,773,97,957,123,8,667,143,8,933,21,97,56,174,334,27,237,576,28,147,,,,,,,,,,,,,,,,,
Jul-24,강원,홍천군,123,28,168,261,28,552,117,1,212,273,1,602,181,11,812,455,12,448,22,147,67,236,443,41,339,1,56,42,838,,,,,,,,,,,,,,
Jul-24,강원,화천군,57,9,902,59,10,18,61,287,44,392,103,3,306,52,3,461,10,58,23,91,231,13,553,178,13,962,,,,,,,,,,,,,,,,,
Jul-24,강원,횡성군,88,19,393,505,19,986,66,820,81,967,126,8,628,271,9,25,14,128,49,191,294,28,969,906,30,169,,,,,,,,,,,,,,,,,
Jul-24,강원,계,1,990,661,429,12,436,675,855,1,703,20,161,3,16,24,880,2,717,154,351,9,264,166,332,274,3,189,2,32,5,495,6,684,839,130,26,748,872,562,,,,
Jul-24,전북,고창군,108,20,188,165,20,461,66,1,267,98,1,431,155,10,684,272,11,111,14,105,49,168,343,32,244,584,33,171,,,,,,,,,,,,,,,
Jul-24,전북,군산시,211,115,730,2,51,117,992,129,3,36,528,3,693,212,19,353,3,134,22,699,18,477,703,1,198,570,138,596,6,416,145,582,,,,,,,,,,,
Jul-24,전북,김제시,122,33,834,570,34,526,70,1,468,131,1,669,141,13,611,1,29,14,781,8,254,152,414,341,49,167,1,882,51,390,,,,,,,,,,,,,
Jul-24,전북,남원시,140,29,433,531,30,104,100,1,153,170,1,423,178,12,500,449,13,127,18,173,67,258,436,43,259,1,217,44,912,,,,,,,,,,,,,,
Jul-24,전북,무주군,71,8,910,59,9,40,41,465,59,565,100,4,444,248,4,792,7,47,38,92,219,13,866,404,14,489,,,,,,,,,,,,,,,,,
Jul-24,전북,부안군,91,18,968,181,19,240,62,810,115,987,129,8,692,271,9,92,12,104,51,167,294,28,574,618,29,486,,,,,,,,,,,,,,,,,
Jul-24,전북,순창군,69,10,307,79,10,455,62,398,30,490,98,5,235,65,5,398,9,48,18,75,238,15,988,192,16,418,,,,,,,,,,,,,,,,,
Jul-24,전북,완주군,113,46,214,235,46,562,119,1,631,423,2,173,206,12,393,2,337,14,936,26,251,206,483,464,60,489,3,201,64,154,,,,,,,,,,,,,
Jul-24,전북,익산시,184,113,541,1,862,115,587,144,3,888,492,4,524,215,24,429,3,121,27,765,16,411,432,859,559,142,269,5,907,148,735,,,,,,,,,,,,
Jul-24,전북,임실군,80,9,721,57,9,858,59,423,70,552,119,4,952,272,5,343,8,64,25,97,266,15,160,424,15,850,,,,,,,,,,,,,,,,,
Jul-24,전북,장수군,75,7,884,33,7,992,41,351,22,414,114,4,433,79,4,626,6,55,18,79,236,12,723,152,13,111,,,,,,,,,,,,,,,,,
Jul-24,전북,전주시 덕진구,142,152,781,3,284,156,207,101,3,394,975,4,470,125,19,411,2,621,22,157,14,531,406,951,382,176,117,7,286,183,785,,,,,,,,,,,,
Jul-24,전북,전주시 완산구,338,136,875,1,980,139,193,239,3,86,515,3,840,242,15,980,1,516,17,738,28,339,250,617,847,156,280,4,261,161,388,,,,,,,,,,,,
Jul-24,전북,정읍시,109,40,946,1,981,43,36,110,1,591,197,1,898,165,14,994,885,16,44,7,231,135,373,391,57,762,3,198,61,351,,,,,,,,,,,,,
Jul-24,전북,진안군,106,9,615,58,9,779,58,413,95,566,109,5,54,104,5,267,14,57,17,88,287,15,139,274,15,700,,,,,,,,,,,,,,,,,
Jul-24,전북,계,1,959,754,947,13,126,770,32,1,401,23,374,3,920,28,695,2,308,176,165,16,403,194,876,205,3,147,2,567,5,919,5,873,957,633,36,16,999,522,,,,
